trainee_number,quality_group_score,cognition,initial_rating_score,final_instructor_score,sea_command,land_command,command_final,thinking_ability_final,sea_performance_final,teamwork_final,stress_resilience_final,persistence_final,motivation,structures_test,sea_rowing,sea_rowing_test,fuel_regulator_test,navigation_test,gps_test,fire_extinguishing_test,marine_navigation_radar_test,professional_lecture,lecture_from_home,submarine_heating_exercise,topographic_map_exercise,raft_exercise,ps2_exercise,commander_qualities_exercise,billion_dollar_exercise,rowing,ship_interception_exercise,hole_digging,sociometric_stretchers,journey_1,journey_2,sociometric_rope,crawls,hydraulic_system_test,submarine_watch_exercise,m16_disassembly,m16_assembly,m16_final,psychologist_interview,psychologist_final,naval_officers_formula_score,number_of_trainees_in_group,commander_sociometric_position,friend_sociometric_position,commander_sociometric_ninths,friend_sociometric_ninths,commander_sociometric_percentile,cubes_in_darkness,pull_up_exercise,acid_stream_exercise,rowing_competition,material_evacuation_exercise,machinery_component_understanding,machinery_mechanical_system_analysis,machinery_drawing_analysis,machinery_understanding_physical_forces,machinery_final_suitability_score,machinery_recommendation,electronics_simulator_score,electronics_electrical_circuit_test,electronics_interview,electronics_final_suitability_score,electronics_recommendation,conduct_two_assessments_flag,short_assessment
95,54,60,35,7,6,6,6,6,7,7,7,6,6,80,60,20,22,16,40,0,0,5,0,4,5,7,5,5,5,5,0,7,7,5,4,5,0,0,0,0,0,0,0,0,68,15,5,2,6,7,73.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
301,55,70,32,6,5,4,6,7,6,6,5,6,5,0,100,20,56,0,60,0,0,6,6,0,7,6,8,6,0,6,6,7,7,7,6,7,6,0,0,0,0,0,0,0,68,12,1,1,8,8,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,56,80,32,6,5,7,6,7,6,7,7,6,7,100,80,40,79,64,70,74,50,7,0,6,5,6,5,5,6,6,0,4,5,6,5,6,0,0,0,0,0,0,0,0,70,15,2,3,7,7,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,56,80,40,6,4,3,4,6,5,6,5,5,7,0,0,0,79,44,70,100,0,7,0,4,0,0,6,0,0,3,0,7,7,5,5,0,0,0,0,0,0,0,0,0,66,14,4,5,6,5,78.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,56,80,31,8,8,7,8,7,8,7,7,7,9,100,80,80,85,60,70,0,0,7,7,7,6,6,6,8,7,5,0,5,7,5,5,6,0,0,0,0,0,0,0,0,78,12,1,8,7,4,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
566,0,0,0,6,5,5,5,7,6,6,5,5,7,80,40,20,60,30,40,0,0,7,5,0,0,4,3,0,3,7,0,0,0,0,0,0,0,64,6,6,6,6,0,0,54,12,10,5,4,6,25.0,5,7,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,56,90,31,7,5,6,7,7,7,7,7,7,8,100,60,60,88,72,60,0,0,6,0,3,3,6,6,6,6,5,0,4,5,6,6,5,0,0,0,0,0,0,0,0,65,12,4,5,7,6,75.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,55,80,24,6,6,6,5,7,6,5,5,5,9,0,0,0,100,0,30,98,82,7,8,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,63,12,3,3,6,6,83.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,54,60,0,7,7,6,8,6,7,7,7,8,9,0,80,20,60,0,40,0,0,5,8,5,8,8,4,6,7,7,6,6,7,6,6,5,7,0,0,0,0,0,0,0,65,12,6,9,6,4,58.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
534,54,60,31,7,6,7,6,4,6,6,6,6,9,0,100,20,0,40,50,0,0,7,7,0,0,4,5,0,0,6,4,0,0,0,0,0,0,0,0,0,0,5,0,0,71,13,1,6,8,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,55,70,32,5,6,7,5,7,5,5,4,5,9,60,40,80,0,0,60,56,44,8,5,8,4,6,4,7,0,4,0,5,5,4,4,5,0,0,0,0,0,0,0,0,61,14,8,11,5,4,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,56,90,29,6,5,6,6,8,6,5,5,6,9,0,40,40,70,30,70,0,0,7,9,0,4,5,5,6,6,5,6,6,5,5,6,6,6,0,6,0,0,6,0,0,66,12,1,2,7,6,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,55,70,31,3,4,3,3,6,4,7,4,5,7,100,100,20,68,21,50,0,0,6,6,2,0,6,1,3,1,5,2,5,8,4,5,4,8,0,0,0,0,0,0,0,58,10,6,8,5,4,50.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,56,70,40,6,0,6,6,6,0,6,4,5,6,80,100,20,70,48,40,0,0,8,8,5,0,0,4,4,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,0,13,1,1,8,7,100.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,55,80,25,7,7,6,7,5,7,9,8,8,8,0,0,0,0,0,0,100,60,8,6,0,7,0,6,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,2,5,6,5,87.5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,56,80,32,8,7,8,7,7,7,8,7,7,8,0,0,0,50,66,70,100,0,7,0,5,0,0,8,5,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,76,15,3,5,7,6,86.7,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,55,70,31,8,8,7,8,7,8,8,8,8,9,100,80,40,56,2,40,0,0,8,8,6,6,8,6,8,8,5,0,7,6,5,8,7,0,0,0,0,0,0,0,0,80,15,2,3,8,7,93.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1
